;id;lat;lon;x;y;min_db;max_db;station_type
152;23850;18.58241576923077;54.42514583978398;6537787.690242825;6032931.230829889;55.0;60.0;2
153;23875;18.488569615384616;54.424245749774975;6531730.270204329;6032831.087206446;70.0;75.0;2
154;23879;18.580877307692308;54.42514583978398;6537688.388274981;6032931.230829889;55.0;60.0;2
155;23913;18.577800384615383;54.424245749774975;6537489.784339292;6032831.087206446;70.0;75.0;2
156;23943;18.50241576923077;54.424245749774975;6532623.987914926;6032831.087206446;65.0;70.0;2
157;23959;18.491646538461538;54.424245749774975;6531928.874140017;6032831.087206446;65.0;70.0;2
158;23966;18.487031153846154;54.424245749774975;6531630.968236485;6032831.087206446;65.0;70.0;2
159;24007;18.57472346153846;54.424245749774975;6537291.180403604;6032831.087206446;70.0;75.0;2
160;24008;18.494723461538463;54.424245749774975;6532127.4780757055;6032831.087206446;60.0;65.0;2
161;24018;18.493185;54.424245749774975;6532028.176107861;6032831.087206446;60.0;65.0;2
162;24021;18.500877307692306;54.424245749774975;6532524.685947082;6032831.087206446;60.0;65.0;2
163;24032;18.47472346153846;54.424245749774975;6530836.552493731;6032831.087206446;60.0;65.0;2
164;24038;18.596261923076923;54.424245749774975;6538681.4079534225;6032831.087206446;65.0;70.0;2
165;24041;18.496261923076922;54.424245749774975;6532226.78004355;6032831.087206446;60.0;65.0;2
166;24060;18.47164653846154;54.424245749774975;6530637.948558043;6032831.087206446;55.0;60.0;2
167;24077;18.479338846153848;54.424245749774975;6531134.458397264;6032831.087206446;55.0;60.0;2
168;24081;18.499338846153847;54.424245749774975;6532425.383979238;6032831.087206446;55.0;60.0;2
169;24084;18.456261923076923;54.424245749774975;6529644.9288796;6032831.087206446;55.0;60.0;2
170;24089;18.48549269230769;54.424245749774975;6531531.66626864;6032831.087206446;55.0;60.0;2
171;24096;18.476261923076922;54.424245749774975;6530935.854461575;6032831.087206446;55.0;60.0;2
172;24104;18.477800384615385;54.424245749774975;6531035.156429419;6032831.087206446;55.0;60.0;2
173;24106;18.497800384615385;54.424245749774975;6532326.082011394;6032831.087206446;55.0;60.0;2
174;24116;18.590108076923077;54.424245749774975;6538284.200082046;6032831.087206446;60.0;65.0;2
175;24120;18.487031153846154;54.42334565976598;6531630.968236485;6032730.943583003;80.0;200.0;2
176;24123;18.576261923076924;54.424245749774975;6537390.482371448;6032831.087206446;55.0;60.0;2
177;24149;18.59472346153846;54.424245749774975;6538582.105985578;6032831.087206446;55.0;60.0;2
178;24162;18.456261923076923;54.42334565976598;6529644.9288796;6032730.943583003;60.0;65.0;2
179;24163;18.488569615384616;54.42334565976598;6531730.270204329;6032730.943583003;70.0;75.0;2
180;24176;18.56395423076923;54.42334565976598;6536596.0666286945;6032730.943583003;75.0;80.0;2
181;24258;18.493185;54.42334565976598;6532028.176107861;6032730.943583003;60.0;65.0;2
182;24266;18.579338846153846;54.42334565976598;6537589.086307136;6032730.943583003;65.0;70.0;2
183;24279;18.496261923076922;54.42334565976598;6532226.78004355;6032730.943583003;60.0;65.0;2
184;24282;18.47164653846154;54.42334565976598;6530637.948558043;6032730.943583003;60.0;65.0;2
185;24293;18.490108076923075;54.42334565976598;6531829.572172172;6032730.943583003;60.0;65.0;2
186;24306;18.491646538461538;54.42334565976598;6531928.874140017;6032730.943583003;60.0;65.0;2
187;24311;18.50395423076923;54.42334565976598;6532723.289882771;6032730.943583003;70.0;75.0;2
188;24328;18.50241576923077;54.42334565976598;6532623.987914926;6032730.943583003;60.0;65.0;2
189;24344;18.497800384615385;54.42334565976598;6532326.082011394;6032730.943583003;55.0;60.0;2
190;24358;18.494723461538463;54.42334565976598;6532127.4780757055;6032730.943583003;60.0;65.0;2
