;lat;lon;min_db;max_db
107;54.37474079927993;18.460877307692307;55.0;60.0
108;54.37474079927993;18.507031153846153;60.0;65.0
109;54.37474079927993;18.514723461538463;80.0;200.0
110;54.37474079927993;18.52241576923077;65.0;70.0
111;54.37474079927993;18.530108076923078;55.0;60.0
112;54.37474079927993;18.537800384615384;70.0;75.0
113;54.37474079927993;18.568569615384614;70.0;75.0
114;54.37474079927993;18.607031153846155;65.0;70.0
115;54.37474079927993;18.62241576923077;70.0;75.0
116;54.37474079927993;18.630108076923076;60.0;65.0
117;54.37474079927993;18.676261923076922;55.0;60.0
118;54.37474079927993;18.68395423076923;65.0;70.0
119;54.370240349234926;18.460877307692307;65.0;70.0
120;54.370240349234926;18.514723461538463;65.0;70.0
121;54.370240349234926;18.52241576923077;65.0;70.0
122;54.370240349234926;18.553185;55.0;60.0
123;54.370240349234926;18.56087730769231;75.0;80.0
124;54.370240349234926;18.576261923076924;55.0;60.0
125;54.370240349234926;18.599338846153845;55.0;60.0
126;54.370240349234926;18.61472346153846;65.0;70.0
127;54.370240349234926;18.62241576923077;60.0;65.0
128;54.370240349234926;18.630108076923076;70.0;75.0
129;54.370240349234926;18.637800384615385;65.0;70.0
130;54.370240349234926;18.68395423076923;55.0;60.0
131;54.370240349234926;18.691646538461537;55.0;60.0
132;54.36573989918992;18.468569615384617;65.0;70.0
133;54.36573989918992;18.499338846153847;65.0;70.0
134;54.36573989918992;18.514723461538463;60.0;65.0
135;54.36573989918992;18.52241576923077;65.0;70.0
136;54.36573989918992;18.530108076923078;55.0;60.0
137;54.36573989918992;18.576261923076924;55.0;60.0
138;54.36573989918992;18.630108076923076;60.0;65.0
139;54.36573989918992;18.637800384615385;75.0;80.0
140;54.36573989918992;18.64549269230769;55.0;60.0
141;54.36573989918992;18.676261923076922;55.0;60.0
142;54.36573989918992;18.691646538461537;60.0;65.0
143;54.36123944914491;18.491646538461538;55.0;60.0
144;54.36123944914491;18.514723461538463;55.0;60.0
145;54.36123944914491;18.52241576923077;60.0;65.0
146;54.36123944914491;18.576261923076924;60.0;65.0
147;54.36123944914491;18.58395423076923;65.0;70.0
148;54.36123944914491;18.59164653846154;70.0;75.0
149;54.36123944914491;18.637800384615385;55.0;60.0
150;54.36123944914491;18.64549269230769;65.0;70.0
151;54.36123944914491;18.691646538461537;55.0;60.0
152;54.36123944914491;18.714723461538462;55.0;60.0
