;id;lat;lon;light;height;station_type
1492;463922;54.338737198919894;18.807031153846154;0.00156337604857981;209;4
1493;463923;54.338737198919894;18.776261923076923;0.00182652554940432;204;4
1494;463924;54.338737198919894;18.745492692307693;0.00212674331851304;214;4
1495;463925;54.338737198919894;18.79164653846154;0.00167689274530858;199;4
1496;463926;54.338737198919894;18.760877307692308;0.00198573130182922;208;4
1497;463927;54.338737198919894;18.78395423076923;0.00175170926377177;204;4
1498;463928;54.334236748874886;18.353185;0.00958280358463526;277;4
1499;463929;54.334236748874886;18.36087730769231;0.00951255392283201;273;4
1500;463930;54.334236748874886;18.368569615384615;0.00940331723541021;269;4
1501;463931;54.338737198919894;18.799338846153844;0.00162013445515186;207;4
1502;463932;54.338737198919894;18.768569615384614;0.00191064295358956;206;4
1503;463933;54.334236748874886;18.399338846153846;0.00869590137153864;268;4
1504;463934;54.334236748874886;18.453185;0.00657059485092759;257;4
1505;463935;54.334236748874886;18.376261923076925;0.00930905621498823;271;4
1506;463936;54.334236748874886;18.39164653846154;0.00882421154528856;270;4
1507;463937;54.334236748874886;18.430108076923077;0.00679972022771835;261;4
1508;463938;54.334236748874886;18.38395423076923;0.00898848287761211;270;4
1509;463939;54.334236748874886;18.407031153846155;0.007114312145859;267;4
1510;463940;54.334236748874886;18.460877307692307;0.00648810947313905;254;4
1511;463941;54.334236748874886;18.445492692307692;0.00669890502467752;259;4
1512;463942;54.334236748874886;18.41472346153846;0.00702266208827496;263;4
1513;463943;54.334236748874886;18.42241576923077;0.00692184688523412;262;4
1514;463944;54.334236748874886;18.468569615384617;0.00640562456101179;254;4
1515;463945;54.334236748874886;18.483954230769232;0.00624981941655278;252;4
1516;463946;54.334236748874886;18.476261923076922;0.00632313964888453;251;4
1517;463947;54.334236748874886;18.437800384615386;0.00669890502467752;260;4
1518;463948;54.334236748874886;18.514723461538463;0.00459421100094914;244;4
1519;463949;54.334236748874886;18.507031153846153;0.00463087065145373;247;4
1520;463950;54.334236748874886;18.491646538461538;0.00616733403876424;250;4
1521;463951;54.334236748874886;18.537800384615384;0.00444757053628564;240;4
1522;463952;54.334236748874886;18.52241576923077;0.00455755041912198;242;4
1523;463953;54.334236748874886;18.499338846153847;0.0046766959130764;249;4
1524;463954;54.334236748874886;18.568569615384614;0.00412340741604567;240;4
1525;463955;54.334236748874886;18.545492692307693;0.00444757053628564;240;4
1526;463956;54.334236748874886;18.59164653846154;0.00387150561437011;230;4
1527;463957;54.334236748874886;18.576261923076924;0.00404092250391841;237;4
1528;463958;54.334236748874886;18.553185;0.00438341544941068;239;4
1529;463959;54.334236748874886;18.530108076923078;0.0045117256231606;243;4
1530;463960;54.334236748874886;18.607031153846155;0.00375717552378774;224;4
1531;463961;54.334236748874886;18.56087730769231;0.00431009521707892;234;4
1532;463962;54.334236748874886;18.58395423076923;0.00396760227158666;232;4
1533;463963;54.334236748874886;18.599338846153845;0.00380528322421014;230;4
1534;463964;54.334236748874886;18.61472346153846;0.00372734712436795;224;4
1535;463965;54.334236748874886;18.62241576923077;0.00371638010255992;223;4
1536;463966;54.334236748874886;18.653185;0.00256601045839489;224;4
1537;463967;54.334236748874886;18.630108076923076;0.0037142897490412;224;4
1538;463968;54.334236748874886;18.64549269230769;0.00371228251606226;217;4
1539;463969;54.334236748874886;18.676261923076922;0.0023424755781889;217;4
1540;463970;54.334236748874886;18.68395423076923;0.00233975518494844;215;4
1541;463971;54.334236748874886;18.637800384615385;0.00371228251606226;222;4
